TABLE_CAT	TABLE_SCHEM	TABLE_NAME	TABLE_TYPE	REMARKS
CABS	sys	system_components_surface_area_configuration	VIEW	<null>
CABS	sys	system_internals_allocation_units	VIEW	<null>
CABS	sys	system_internals_partition_columns	VIEW	<null>
CABS	sys	system_internals_partitions	VIEW	<null>
CABS	sys	system_objects	VIEW	<null>
CABS	sys	system_parameters	VIEW	<null>
CABS	sys	system_sql_modules	VIEW	<null>
CABS	sys	system_views	VIEW	<null>
CABS	sys	systypes	VIEW	<null>
CABS	sys	sysusers	VIEW	<null>
CABS	sys	tables	VIEW	<null>
CABS	sys	tcp_endpoints	VIEW	<null>
CABS	sys	trace_categories	VIEW	<null>
CABS	sys	trace_columns	VIEW	<null>
CABS	sys	trace_event_bindings	VIEW	<null>
CABS	sys	trace_events	VIEW	<null>
CABS	sys	trace_subclass_values	VIEW	<null>
CABS	sys	traces	VIEW	<null>
CABS	sys	transmission_queue	VIEW	<null>
CABS	sys	trigger_events	VIEW	<null>
CABS	sys	triggers	VIEW	<null>
CABS	sys	type_assembly_usages	VIEW	<null>
CABS	sys	types	VIEW	<null>
CABS	sys	user_token	VIEW	<null>
CABS	sys	via_endpoints	VIEW	<null>
CABS	sys	views	VIEW	<null>
CABS	sys	xml_indexes	VIEW	<null>
CABS	sys	xml_schema_attributes	VIEW	<null>
CABS	sys	xml_schema_collections	VIEW	<null>
CABS	sys	xml_schema_component_placements	VIEW	<null>
CABS	sys	xml_schema_components	VIEW	<null>
CABS	sys	xml_schema_elements	VIEW	<null>
CABS	sys	xml_schema_facets	VIEW	<null>
CABS	sys	xml_schema_model_groups	VIEW	<null>
CABS	sys	xml_schema_namespaces	VIEW	<null>
CABS	sys	xml_schema_types	VIEW	<null>
CABS	sys	xml_schema_wildcard_namespaces	VIEW	<null>
CABS	sys	xml_schema_wildcards	VIEW	<null>
